Time,Soil(%),Temp(C),Humidity(%),Motor,Rain,PIR
0:10:39,40,30.5,87.4,Off,No,Found
0:10:40,40,30.5,87.3,Off,No,Found
0:10:41,40,30.5,87.5,Off,No,Found
0:10:42,40,30.5,87.4,Off,No,Found
0:10:43,40,30.5,87.1,Off,No,Found
0:10:44,40,30.5,87.1,Off,No,Found
0:10:45,40,30.5,87.2,Off,No,Found
0:10:46,40,30.5,87.5,Off,No,Found
0:10:47,40,30.5,87.4,Off,No,Found
0:10:48,40,30.5,87.3,Off,No,Found
0:10:49,40,30.5,87.2,Off,No,Found
0:10:50,40,30.5,87,Off,No,Found
0:10:51,40,30.5,87,Off,No,Found
0:10:52,40,30.5,87.2,Off,No,Found
0:10:53,40,30.5,86.9,Off,No,Found
0:10:54,40,30.5,87,Off,No,Found
0:10:55,40,30.5,86.8,Off,No,Found
0:10:56,40,30.5,86.9,Off,No,Found
0:10:57,40,30.6,87.1,Off,No,Found
0:10:58,40,30.6,87.2,Off,No,Found
0:10:59,40,30.6,87.3,Off,No,Found
0:11:00,40,30.6,87.4,Off,No,Found
0:11:01,40,30.6,87.2,Off,No,Found
0:11:02,40,30.6,87.2,Off,No,Found
0:11:03,40,30.6,87.1,Off,No,Found
0:11:04,40,30.6,87.4,Off,No,Found
0:11:05,40,30.6,87.3,Off,No,Found
0:11:06,40,30.6,87,Off,No,Found
0:11:07,40,30.6,87,Off,No,Found
0:11:08,40,30.6,86.9,Off,No,Found
0:11:09,40,30.6,86.9,Off,No,Found
0:11:10,40,30.6,86.9,Off,No,Found
0:11:11,40,30.6,86.9,Off,No,Found
0:11:12,40,30.6,86.8,Off,No,Found
0:11:13,40,30.6,86.8,Off,No,Found
0:11:14,40,30.6,86.7,Off,No,Found
0:11:15,40,30.6,86.7,Off,No,Found
0:11:16,40,30.6,86.7,Off,No,Found
0:11:17,40,30.6,86.9,Off,No,Found
0:11:18,40,30.6,86.8,Off,No,Found
0:11:19,40,30.6,86.9,Off,No,Found
0:11:20,40,30.6,86.8,Off,No,Found
0:11:21,40,30.6,86.9,Off,No,Found
0:11:22,40,30.6,86.8,Off,No,Found
0:11:23,40,30.6,86.9,Off,No,Found
